id,name,xoVersion,build,description,battlePass,url,startDate,endDate,active
1,Adventure,0.10.00,,,,https://crossout.net/en/news/739/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
2,New Sky,0.10.20,,,,https://crossout.net/en/news/805/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
3,Horsemen Of Apocalypse,0.10.30,,,,https://crossout.net/en/news/838/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
4,Update,0.10.40,,,,https://crossout.net/en/news/869/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
5,Knight Riders,0.10.45,,,,https://crossout.net/en/news/875/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
6,Update,0.10.50,,,,https://crossout.net/en/news/892/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
7,Mass Contagion,0.10.60,,,,https://crossout.net/en/news/938/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
8,Wasteland Cup,0.10.70,,,,https://crossout.net/en/news/969/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
9,Meet The Horsemen,0.10.80,,,,https://crossout.net/en/news/1008/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
10,Witch Hunt,0.10.90,4318634,,,https://crossout.net/en/news/1039/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
11,Snowstorm,0.10.10,,,,https://crossout.net/en/news/1082/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
12,Return Of The Founders,0.11.00,,,1,https://crossout.net/en/news/1120/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
13,Valentine Event,0.11.05,,,,https://crossout.net/en/news/1127/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
14,Winter Mayhem,0.11.10,,,,https://crossout.net/en/news/1133/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
15,Drone Day,0.11.20,,,,https://crossout.net/en/news/1170/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
16,Spring Mayhem,0.11.25,,,,https://crossout.net/en/news/1207/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
17,Raven’s Path,0.11.30,,,,https://crossout.net/en/news/1222/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
18,Doomsday Cars,0.11.40,,,2,https://crossout.net/en/news/1258/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
19,Steel Championship,0.11.50,,,,https://crossout.net/en/news/1284/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
20,Madness Circuit,0.11.60,,,,https://crossout.net/en/news/1318/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
21,Black Wings,0.11.65,,,,https://crossout.net/en/news/1341/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
22,Amusement Park,0.12.00,5588235,,3,https://crossout.net/en/news/1364/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
23,Witch Hunt,0.12.10,,,,https://crossout.net/en/news/1392/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
24,Snowstorm,0.12.30,5968540,,,https://crossout.net/en/news/1457/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
25,Syndicate,0.12.40,,,4,https://crossout.net/en/news/1527/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
26,Winter Mayhem,0.12.45,6262935,,,https://crossout.net/en/news/1541/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
27,Dronapocalypse,0.12.50,6454884,,,https://crossout.net/en/news/1575/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
28,Crossout Day,0.12.65,6766217,,,,2023-09-23 21:10:58,2023-09-23 21:11:02,false
29,Spring Mayhem,0.12.60,,,,https://crossout.net/en/news/1620/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
30,Guiding Star,0.12.70,,,5,https://crossout.net/en/news/1679/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
31,Steel Championship,0.12.80,,,,https://crossout.net/en/news/1722/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
32,Slaughter,0.12.90,,,,https://crossout.net/en/news/1761/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
33,Enemy Of My Enemy,0.13.00,,,6,https://crossout.net/en/news/1796/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
34,Sabotage,0.13.05,7492553,,,,2023-09-23 21:10:58,2023-09-23 21:11:02,false
35,Holy Motors,0.13.20,,,7,https://crossout.net/en/news/1867/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
36,Triad: The Rascal,0.13.25,7853028,,,,2023-09-23 21:10:58,2023-09-23 21:11:02,false
37,Raven’s Path,0.13.35,8052406,,,,2023-09-23 21:10:58,2023-09-23 21:11:02,false
38,Raven’s Path,0.13.40,8220904,,8,https://crossout.net/en/news/1970/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
39,Dronapocalypse,0.13.50,8428941,,,https://crossout.net/en/news/2018/current/,2023-09-23 21:10:58,2023-09-23 21:11:02,false
40,Knight Mayhem,0.13.60,8595081,,,,2023-09-23 21:10:58,2023-09-23 21:11:02,false
41,Crossout Day,0.13.65,8768198,,,,2023-09-23 21:10:58,2023-09-23 21:11:02,false
42,Brawl Festival,0.13.70,8856927,,,,2023-09-23 21:10:58,2023-09-23 21:11:02,false
43,Big Chase,0.13.80,9118666,,9,,2023-09-23 21:10:58,2023-09-23 21:11:02,false
44,Steel Championship,0.13.90,9429773,,,,2023-09-23 21:10:58,2023-09-23 21:11:02,false
45,Supercharged,0.14.00,9792145,,,,2023-09-23 21:10:58,2023-09-23 21:11:02,false
46,Crossout Has Been Upgraded To Version 2.0!,2,9850746,,,,2023-09-23 21:10:58,2023-09-23 21:11:02,false
47,Mr. Twister,,10006233,,10,,2023-09-23 21:10:58,2023-09-23 21:11:02,false
48,Polar Lights,,,,10,,2023-09-23 21:10:58,2023-09-23 21:11:02,false
49,Off We Go!,,10151785,,,,2023-09-23 21:10:58,2023-09-23 21:11:02,false
50,Operation Radiance,,10599063,,10,,2023-09-23 21:10:58,2023-09-23 21:11:02,false
51,Waderkvarn Stash,,10993264,,,,2023-09-23 21:10:58,2023-09-23 21:11:02,false
52,Dronapocalypse,,10836260,,,,2023-09-23 21:10:58,2023-09-23 21:11:02,false
53,Spring Mayhem: Treasures Of The Wasteland,,11046790,,,,2023-09-23 21:10:58,2023-09-23 21:11:02,false
54,Road To Singularity,,11420864,,11,,2023-09-23 21:10:58,2023-09-23 21:11:02,false
55,Foxy’s Secrets,,11691015,,11,,2023-09-23 21:10:58,2023-09-23 21:11:02,false
56,Under The Sign Of The Dragon,,11961979,,11,,2023-09-23 21:10:58,2023-09-23 21:11:02,true